Country_Name,Country_code,Year,log_gdp_per_capita,annual_inflation,change_in_volume_of_imports,change_in_volume_of_exports,unemployment_rate,gov_revenue_per_GDP,log_gov_expenditure_per_GDP,gov_lending_minus_borrowing_per_GDP,gov_net_debt_per_GDP,exports_minus_imports_per_GDP,log10_share_world_GDP,
Croatia,HRV,2025,4.281074975668187,1.816,9.291,11.735,8.788,50.331,1.7212746272710875,-0.175,49.053,-0.912,-0.853006213767116,
Cuba,CUB,2025,3.9526646051191685,2.34,4.828,4.7524999999999995,8.326,25.984,1.458123944661062,0.251,54.8855,-3.306,-1.2746971515467962,
Curacao,CUW,2025,3.9526646051191685,2.34,4.828,4.7524999999999995,8.326,25.984,1.458123944661062,0.251,54.8855,-3.306,-1.2746971515467962,
Cyprus,CYP,2025,4.512354415158504,1.2,3,4.393,5.891,45.876,1.6591171999653849,2.213,49.053,-5.529,-1.2676930607970638,
Czech Republic,CZE,2025,4.469284335867103,2,3.719,4.5,3,41.556,1.6426722196373411,-1.684,31.417,-0.023,-0.23964231386559748,
Denmark,DNK,2025,4.841079278922135,1.4,2.1,2.2,5.6,49.99,1.7010236967652257,-0.247,17.619,7.002,-0.13642553585592979,
Djibouti,DJI,2025,3.563568884692761,2,5.193,5.778,9.305,18.172,1.3189393915606702,-1.914,39.75,-0.426,-2.0695648269828273,
Dominica,DMA,2025,3.9530000994476455,1.648,5.758,22.724,8.326,32.897,1.4805386999218562,4.473,54.8855,-15.659,-2.9479248665412343,
Dominican Republic,DOM,2025,3.952328851419522,4,4.995,12.345,5.5,14.47,1.2022157758011316,1.792,53.426,-1.983,-0.7348123549748801,
Ecuador,ECU,2025,3.763929389024516,1.377,0.458,2.849,5.19,35.169,1.52283531366053,3.701,54.8855,0.639,-0.7268281863349414,
Egypt Arab Rep.,EGY,2025,3.5865051634918936,7.669,18.835,22.195,9.51,20.647,1.398148420008631,2.092,81.567,-2.766,-0.10082735017504968,
El Salvador,SLV,2025,3.638114703691315,1.199,4.549,4.734,7.5,22.139,1.4661704111578828,-1.668,54.8855,-4.827,-1.2952220881318062,
Equatorial Guinea,GNQ,2025,3.8880210289910155,2.112,-5.735,-5.152,9.305,15.89,1.2134114945827816,1.213,37.746,-4.38,-1.6887431036033487,
Eritrea,ERI,2025,2.832627050282592,1.966,3.76,4.209,9.305,34.079,1.5466660250701842,0.177,64.471,9.7,-2.328849905401861,
Estonia,EST,2025,4.475255577409164,2.1,5.866,3.594,4.966,39.132,1.632285160030591,-3.755,20.041,-0.1,-1.139749547701675,
Ethiopia,ETH,2025,2.988751983288823,7.977,9.459,14.231,9.305,14.732,1.2217792569396895,-0.914,51.687,-3.299,-0.6888412841157588,
Fiji,FJI,2025,3.756525048522445,2,3.658,4.186,3.877,21.7,1.3926969532596658,1.405,76.124,-6,-2.0159661997766687,
Finland,FIN,2025,4.7756539116831425,1.6,2,2,7.14,52.932,1.7410570053605983,-2.193,36.79,-0.014,-0.23479289981068466,
France,FRA,2025,4.686450537385221,1.189,3.763,4.476,8.968,51.264,1.7496590320948997,-3.83,112.545,-1.3,0.7512628672437378,
French Polynesia,PYF,2025,3.6505571464167907,2.096,3.658,4.186,5.253,36.496,1.5945251391360056,-1.651,47.248,-2.553,-2.7860740466001634,
Gabon,GAB,2025,3.942796511983477,2.5,0.143,1.646,9.305,17.547,1.2557788866670176,2.331,64.471,-2.123,-1.43447683111365,
Gambia The,GMB,2025,2.9569268224290544,5.122,4.262,14.795,9.305,21.383,1.3542237232648509,1.224,64.471,-9.182,-2.32534320806867,
Georgia,GEO,2025,3.7485020014579953,3.008,12.803,13.819,6.232,25.723,1.4534712337229359,-1.032,49.053,-7.58,-1.3929687966731021,
Germany,DEU,2025,4.7556227393239086,1.526,4.093,4.158,3.551,46.742,1.6618694523476032,1.161,48.789,6.948,0.9208022870628952,
Ghana,GHA,2025,3.4046404638796046,6.8,6.503,17.251,9.305,14.424,1.3462160131550056,-1.565,69.302,-3.153,-0.8079258207587096,
Greece,GRC,2025,4.371566183295426,1.016,5.336,7.224,14.817,48.465,1.6941662959331982,1.856,49.053,-3.435,-0.3530561959357027,
Greenland,GRL,2025,4.703471164615265,2.113,4.245,5.79,6.638,30.307,1.5545981742240047,-2.651,78.8415,-2.377,0.5594105779374795,
Grenada,GRD,2025,4.06512352202268,1.875,6.133,29.732,8.326,26.463,1.3656190022545034,5.48,54.8855,-10.022,-2.627894376853184,
Guam,GUM,2025,3.6505571464167907,2.096,3.658,4.186,5.253,36.496,1.5945251391360056,-1.651,47.248,-2.553,-2.7860740466001634,
Guatemala,GTM,2025,3.6678665031450923,3.966,3.806,2.1,8.326,11.548,1.1458487565905437,-0.274,54.8855,0.622,-0.7759454836568429,
Guinea,GIN,2025,3.072999428893013,7.8,2.816,3.641,9.305,16.298,1.2608104910669788,-0.944,64.471,-11.293,-1.473507780546637,
Guinea-Bissau,GNB,2025,2.9744481327964527,2,6.212,3.103,9.305,16.891,1.305952944960507,-0.879,64.471,-4.297,-2.4529220408431787,
Guyana,GUY,2025,4.221179942555376,2.483,15.081,30.125,8.326,13.511,1.1281406831299923,0.428,21.971,-12.143,-1.6330757427083638,
Haiti,HTI,2025,2.8622560421153422,17.326,3.658,0.138,8.326,17.613,1.2964896822850456,-1.822,54.8855,-1.059,-1.81589628816111,
Honduras,HND,2025,3.4486939554733604,4,4.738,4.751,4.716,27.402,1.4498793386232016,-0.008,54.8855,-3.687,-1.2550986145444942,
Hong Kong SARChina,HKG,2025,4.725840196406755,2.4,3.574,3.418,3.937,21.615,1.3332658607261736,-1.182,35.7815,4.017,-0.1257385659995421,
Hungary,HUN,2025,4.3093729207952896,3.015,5.417,6.205,3.7,45.376,1.6690284951398207,0.48,62.824,-0.5,-0.43847400586409463,
Iceland,ISL,2025,4.775621514547885,2.5,6.155,6.153,4,39.111,1.6474220939813102,-2.828,44.488,0.283,-1.388801345904319,
India,IND,2025,3.374117519722495,3.873,9.699,7.741,3.9684999999999997,19.765,1.4673712876474791,-3.492,35.7815,-1.963,0.8158554174295422,
Indonesia,IDN,2025,3.68430754448709,2.989,6.406,8.312,5.4,12.76,1.196397284437343,-0.977,40.479,-2.041,0.4039490499454436,
