Country_Name,Country_code,Year,log_gdp_per_capita,annual_inflation,change_in_volume_of_imports,change_in_volume_of_exports,unemployment_rate,gov_revenue_per_GDP,log_gov_expenditure_per_GDP,gov_lending_minus_borrowing_per_GDP,gov_net_debt_per_GDP,exports_minus_imports_per_GDP,log10_share_world_GDP,
Sri Lanka,LKA,2025,3.6505173328645193,5,5.016,5.313,4.4,11.755,1.2896112463482998,-0.943,35.7815,-2.436,-0.720064538870537,
St.Kitts and Nevis,KNA,2025,4.273569767683599,1.967,9.897,15.067,8.326,31.675,1.525834892800632,-0.198,54.8855,-14.581,-2.69784844033114,
St.Lucia,LCA,2025,4.083206539354044,2,15.399,18.549,8.326,22.389,1.3903874803172789,0.976,54.8855,-0.811,-2.3996921986228448,
St.Martin (Frenchpart),MAF,2025,3.9526646051191685,2.34,4.828,4.7524999999999995,8.326,25.984,1.458123944661062,0.251,54.8855,-3.306,-1.2746971515467962,
St.Vincent and the Grenadines,VCT,2025,3.9155085271545165,1.998,3.578,20.941,8.326,29.699,1.5448986133529796,-2.752,89.067,-9.304,-2.7808415196664864,
Sudan,SDN,2025,2.8343316737257838,27.792,0.556,4.193,19.4,13.893,1.2124805877213731,-2.358,64.471,-9.547,-1.2332706836121625,
Suriname,SUR,2025,3.731511407146741,10.886,1.717,0.156,10.136,25.984,1.565635340055644,-0.678,54.8855,-5.115,-2.2072149729123858,
Swaziland,SWZ,2025,3.621656026392346,4.798,-0.916,1.89,9.305,26.036,1.4608377286334118,0.581,47.752,5.998,-2.057597287236501,
Sweden,SWE,2025,4.80019547436159,1.595,3.105,3.175,7.7,45.54,1.6555513946674,0.315,11.026,3.334,0.09697681982377862,
Switzerland,CHE,2025,4.984438240087763,0.75,4.599,3.962,3.2,32.949,1.5211380837040362,-0.059,26.535,9.329,0.1938957909826462,
Syrian Arab Republic,SYR,2025,3.3650384821957053,3.432,4.327500000000001,4.638,9.305,21.570500000000003,1.398148420008631,-1.0915,64.471,-4.374499999999999,-1.423726776798834,
Tajikistan,TJK,2025,2.9611708873694447,6.5,3.656,8.958,3.9684999999999997,27.731,1.4804525132809891,-1.614,35.7815,-4.286,-1.7737908505521143,
Tanzania,TZA,2025,3.0986125800760638,4.136,4.853,3.66,9.305,15.351,1.251638220448212,0.005,64.471,-3.016,-0.8063785500528529,
Thailand,THA,2025,3.932279912433438,1.35,4.568,4.936,1,21.024,1.3607637659541545,-0.985,35.7815,4.341,0.04204008441724455,
Timor-Leste,TMP,2025,3.3650384821957053,3.432,4.327500000000001,4.638,9.305,21.570500000000003,1.398148420008631,-1.0915,64.471,-4.374499999999999,-1.423726776798834,
Togo,TGO,2025,2.92834412306444,2.007,7.816,7.886,9.305,24.064,1.4156743345662606,0.7,64.471,-4.369,-1.832075317398451,
Tonga,TON,2025,3.7510919474226014,2.096,3.658,4.186,5.253,43.868,1.6272224337917536,2.057,47.248,-8.52,-2.994248766679298,
Trinidad and Tobago,TTO,2025,4.2526753949016864,1.252,0.526,4.098,8.326,25.982,1.5055704974431707,-2.614,23.883,2.837,-1.3525708964306244,
Tunisia,TUN,2025,3.5318555679957147,4.315,3.653,4.183,9.305,28.335,1.4847979243318845,1.851,64.471,-6.807,-1.1140695351413024,
Turkey,TUR,2025,3.968059188014426,11,14.308,9.882,8.962,29.059,1.5651155098193765,-3.789,43.989,-1.115,0.2052889834919817,
Turkmenistan,TKM,2025,4.027365918998282,6,10.297,1.885,3.9684999999999997,11.723,1.0843617585514052,-2.501,35.7815,-1.541,-0.8771126970108587,
Turks and Caicos Islands,TCA,2025,3.9526646051191685,2.34,4.828,4.7524999999999995,8.326,25.984,1.458123944661062,0.251,54.8855,-3.306,-1.2746971515467962,
Tuvalu,TUV,2025,3.6798892029839423,2.709,3.658,4.186,5.253,93.852,1.9987474273204329,-7.106,47.248,-13.767,-4.010857229555569,
Uganda,UGA,2025,3.0343155556632584,5,8.516,6.59,9.305,14.455,1.3312247810207325,-3.647,64.471,-4.179,-1.0015936383385209,
Ukraine,UKR,2025,3.634685802356553,5.191,6.853,7.91,8.593,40.829,1.6357751892809327,0.872,49.053,-3.665,-0.4582178807691137,
United Arab Emirates,ARE,2025,4.527076305988644,2,3.646,3.623,9.305,27.89,1.4885084130296018,-2.173,64.471,8.859,-0.13107830370187157,
United Kingdom,GBR,2025,4.659960482544888,1.923,1.861,1.925,5.165,37.1,1.6321940036153368,-4.564,105.359,-3.545,0.7442149315385557,
United States,USA,2025,4.854535155213076,2.113,3.557,4.003,5.081,30.307,1.5545981742240047,-3.993,110.248,-2.111,1.6296316188076905,
Uruguay,URY,2025,4.2539499970035015,5.123,2.889,7.451,8.326,30.58,1.5277458690761883,-0.22,59.946,-1.409,-0.9360903602472708,
Uzbekistan,UZB,2025,3.3349159483157074,5.585,8.099,13.223,3.9684999999999997,24.705,1.4107940988548493,-0.949,35.7815,-5.21,-0.8120650580554393,
Vanuatu,VUT,2025,3.5002200031675685,2.182,3.658,4.186,5.253,31.016,1.546493309028177,-3.134,47.248,-2.553,-2.726330909822713,
Venezuela RB,VEN,2025,3.9526646051191685,2.34,4.828,4.7524999999999995,8.326,25.984,1.458123944661062,0.251,54.8855,-3.306,-1.2746971515467962,
Vietnam,VNM,2025,3.646405686916079,4,8.721,8.089,2.3,18.325,1.3511196097376716,-2.501,35.7815,0.439,-0.05720563157263656,
West Bank and Gaza,WBG,2025,3.5105074769628892,2,1.568,4.378,26.186,23.86,1.506464442238769,-1.0915,64.471,-12.904,-1.4992910703200657,
Yemen Rep.,YEM,2025,2.6993615613929984,15,8.641,42.54,9.305,7.438,1.0932465311038402,-2.948,71.573,-8.557,-1.5012219274358836,
Zambia,ZMB,2025,3.0182426674579097,9.6,3.979,0.555,9.305,19.596,1.3516610517906726,4.686,94.851,-0.237,-1.4132364027573514,
Zimbabwe,ZWE,2025,2.7334797455990887,3,4.327500000000001,4.638,9.305,14.771,1.1629525293457261,1.18,64.471,-6.735,-1.792838275133068,
Taiwan,TWN,2025,4.505936560038012,1.403,2.02,1.83,3.8,15.523,1.2282976764748628,-2.501,31.084,9.478,0.14066635729819507,
